repository,path,name,url,html_url,git_url,score
Ghost-Applications/gizz-tapes,android/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/858250874/contents/android/src/main/AndroidManifest.xml?ref=d9c9d5c2b3aaf79ba18b8fb546410301e0c37fe7,https://github.com/Ghost-Applications/gizz-tapes/blob/d9c9d5c2b3aaf79ba18b8fb546410301e0c37fe7/android/src/main/AndroidManifest.xml,https://api.github.com/repositories/858250874/git/blobs/7d85c1bcfca8ff3e7adb1b1b8379b3194c7a5eae,1.0
hsa111/Morse-Android,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/485374060/contents/app/src/main/AndroidManifest.xml?ref=517fe6572b06a3e48e43ddfeba258460b3e0365f,https://github.com/hsa111/Morse-Android/blob/517fe6572b06a3e48e43ddfeba258460b3e0365f/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/485374060/git/blobs/8ff68b442c4a689563ed990adb43f5b39bac9bfc,1.0
timusus/Shuttle2,android/playback/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/161272371/contents/android/playback/src/main/AndroidManifest.xml?ref=6fd520f851df851b196f83440f5d9406b6d787d4,https://github.com/timusus/Shuttle2/blob/6fd520f851df851b196f83440f5d9406b6d787d4/android/playback/src/main/AndroidManifest.xml,https://api.github.com/repositories/161272371/git/blobs/658c037997522e87a50cf36bc050202e491f3d04,1.0
Anrimian/music-player,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/110600205/contents/app/src/main/AndroidManifest.xml?ref=90799cea1442085b22b26cddd6cd6e912cf4cfaa,https://github.com/Anrimian/music-player/blob/90799cea1442085b22b26cddd6cd6e912cf4cfaa/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/110600205/git/blobs/6731d4f5bf34e3548cebc11e088c62581ef7dba2,1.0
tetrafolium/VinylMusicPlayer,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/215733957/contents/app/src/main/AndroidManifest.xml?ref=cc82ba1d28f6c5fa368242004b2e21ac71f70d2c,https://github.com/tetrafolium/VinylMusicPlayer/blob/cc82ba1d28f6c5fa368242004b2e21ac71f70d2c/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/215733957/git/blobs/6aa4311cc1cb57b9f3820be428697a7819356757,1.0
jstutz4/SynchronousMusicApp,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/171708894/contents/app/src/main/AndroidManifest.xml?ref=f944d5ce8172cfec2a14ef94102827954a197127,https://github.com/jstutz4/SynchronousMusicApp/blob/f944d5ce8172cfec2a14ef94102827954a197127/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/171708894/git/blobs/6c62f0fa6ed5373f8c6782fca9533124a7142bf1,1.0
TelePlusDev/TelePlus-Android,TMessagesProj/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/163732346/contents/TMessagesProj/src/main/AndroidManifest.xml?ref=52d85666642567eee8bc1befd58bbd25e4255f39,https://github.com/TelePlusDev/TelePlus-Android/blob/52d85666642567eee8bc1befd58bbd25e4255f39/TMessagesProj/src/main/AndroidManifest.xml,https://api.github.com/repositories/163732346/git/blobs/76fffca8376dd0beec60bcb4fca6b28fa4b85512,1.0
risin42/NagramX,TMessagesProj/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/884078142/contents/TMessagesProj/src/main/AndroidManifest.xml?ref=2b2b3079323b8bf2a675f5c1efc00f810b4d9a01,https://github.com/risin42/NagramX/blob/2b2b3079323b8bf2a675f5c1efc00f810b4d9a01/TMessagesProj/src/main/AndroidManifest.xml,https://api.github.com/repositories/884078142/git/blobs/7fa5cc364454561792c41620a324771c23f07541,1.0
JaceG/audiobookshelf-app-custom,android/app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/919659386/contents/android/app/src/main/AndroidManifest.xml?ref=6e4083967bda0dc44cb952beac4943c22be03411,https://github.com/JaceG/audiobookshelf-app-custom/blob/6e4083967bda0dc44cb952beac4943c22be03411/android/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/919659386/git/blobs/7c45e1c73247e7a9e1baa19e440dbe990192daf0,1.0
marverenic/Jockey,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/30621232/contents/app/src/main/AndroidManifest.xml?ref=a195e3533bf0bd3cd8a1b7910e006883226a494e,https://github.com/marverenic/Jockey/blob/a195e3533bf0bd3cd8a1b7910e006883226a494e/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/30621232/git/blobs/7e03b433943b7de82c9fdde7270b9ce65b98dc1e,1.0
